,Date,Price,NAV,Prem/Disc,Return on Price,Return on NAV,Prem/Disc Z-score
112,2018-10-22,16.2,16.95,-4.424778761061947,-2.8776978417266212,-3.2534246575342483,0.1775492735434619
113,2018-10-23,15.9,16.84,-5.58194774346793,-4.676258992805751,-3.8812785388127837,-1.7646318404050727
114,2018-10-24,15.56,16.2546,-4.273251879467963,-7.43604997025579,-7.3283922462941815,0.4456744894024362
115,2018-10-25,15.67,16.66,-5.9423769507803135,-7.223208999407937,-5.501985252410657,-2.2563234912246335
116,2018-10-26,15.39,16.46,-6.500607533414339,-8.93491124260354,-6.847764572722132,-2.907444314466062
117,2018-10-29,15.26,16.38,-6.837606837606833,-8.786610878661092,-6.560182544209938,-3.0799908430474083
118,2018-10-30,15.34,16.59,-7.53465943339361,-8.308427973699944,-5.3622361665715985,-3.5972342786555584
119,2018-10-31,15.46,16.77,-7.8115682766845485,-7.921381774865982,-4.7159090909091015,-3.49509564979924
120,2018-11-01,15.69,16.91,-7.214665878178596,-6.440071556350627,-4.029511918274693,-2.6197735149388235
121,2018-11-02,15.6,16.78,-7.032181168057219,-7.473309608540925,-4.929178470254944,-2.2882754360625763
122,2018-11-05,15.68,16.87,-7.0539419087137,-7.547169811320761,-5.064715813168253,-2.1671485894906826
123,2018-11-06,15.8,16.96,-6.839622641509433,-6.839622641509433,-4.558244231851428,-1.8870517914491443
124,2018-11-07,16.15,17.3,-6.647398843930648,-5.167351732237243,-2.918069584736249,-1.637379552718639
125,2018-11-08,16.24,17.25,-5.855072463768125,-4.694835680751178,-3.1986531986532,-0.8661712712715544
126,2018-11-09,16.09,17.08,-5.7962529274004595,-6.016355140186922,-4.260089686098664,-0.788581201916977
127,2018-11-12,15.84,16.79,-5.65812983918999,-6.658809664113136,-4.980192416525197,-0.6265883313080896
128,2018-11-13,15.83,16.78,-5.661501787842676,-6.717737183264578,-5.036785512167518,-0.6231222500688912
129,2018-11-14,15.59,16.55,-5.800604229607256,-7.806031933767003,-6.549971767363072,-0.7298012304465465
130,2018-11-15,15.58,16.68,-6.594724220623499,-8.028335301062581,-5.011389521640086,-1.4266642062900492
131,2018-11-16,15.46,16.72,-7.5358851674641025,-8.951707891637216,-5.590062111801253,-2.1919412995481866
132,2018-11-19,15.3,16.4044,-6.732340103874559,-10.839160839160837,-7.89219539584503,-1.402991269222714
133,2018-11-20,15.01,16.1706,-7.177222861242011,-12.529137529137532,-9.204941044357094,-1.748193941159504
134,2018-11-21,15.07,16.2761,-7.410251841657395,-12.07701283547258,-8.6638608305275,-1.8797708136175142
135,2018-11-23,15.0367,16.24,-7.409482758620682,-11.85990621336459,-8.815272318921956,-1.7952052887008563
136,2018-11-26,15.21,16.47,-7.650273224043705,-11.569767441860456,-8.398220244716361,-1.9059432462483583
137,2018-11-27,15.24,16.5,-7.636363636363636,-11.395348837209298,-8.231368186874306,-1.8290840872953857
138,2018-11-28,15.57,16.8,-7.321428571428573,-9.79142526071843,-6.614785992217886,-1.5093409343083817
139,2018-11-29,15.63,16.76,-6.742243436754181,-8.969132207338387,-7.2495849474266665,-0.9987104789728135
140,2018-11-30,15.76,16.81,-6.246281975014866,-8.318789994182673,-6.61578032209502,-0.5696760868326072
141,2018-12-03,15.97,16.96,-5.837264150943397,-7.259001161440176,-5.713872735965483,-0.200852953833839
142,2018-12-04,15.58,16.3221,-4.546596332579747,-9.523809523809518,-9.26016522309566,0.8629676730399812
143,2018-12-06,15.36,16.42,-6.455542021924495,-10.280373831775709,-8.165548098433991,-0.6914450756822782
144,2018-12-07,15.13,16.08,-5.90796019900496,-11.364967779730518,-9.915966386554638,-0.21228978133157062
145,2018-12-10,14.88,16.0969,-7.559840714671773,-13.033313851548794,-9.821288515406161,-1.5554892812307752
146,2018-12-11,14.76,16.04,-7.9800498753117175,-14.086146682188591,-10.491071428571441,-1.8326432540327018
147,2018-12-12,14.85,16.14,-7.992565055762086,-13.360560093348898,-9.882747068676714,-1.7734728528942014
148,2018-12-13,14.79,16.1521,-8.43295918177823,-13.407494145199058,-9.714365567356063,-2.036471802669338
149,2018-12-14,14.4,15.7266,-8.435389721872491,-15.6414762741652,-12.19095477386935,-1.9466123331875793
150,2018-12-17,13.94,15.5,-10.064516129032262,-17.75811209439528,-13.019079685746354,-2.9517086132303834
151,2018-12-18,14.09,15.46,-8.861578266494185,-17.263652378156202,-13.775794757389843,-1.9713874371830056
152,2018-12-19,13.88,15.27,-9.10281597904387,-18.68775629759812,-14.930362116991642,-2.036454540144646
153,2018-12-20,13.68,15.02,-8.921438082556591,-20.511330621731556,-16.832779623477297,-1.8275857402741391
154,2018-12-21,13.31,14.73,-9.640190088255261,-22.751015670342426,-18.43853820598006,-2.192110167617966
155,2018-12-24,13.23,14.4,-8.124999999999998,-23.03664921465969,-19.955530850472474,-1.1596711934908672
156,2018-12-26,13.75,15.06,-8.698539176626829,-19.871794871794872,-15.771812080536908,-1.477246197767224
157,2018-12-27,13.77,15.14,-9.048877146631446,-19.426565242832066,-15.41899441340781,-1.6539420529928703
158,2018-12-28,14.03,15.14,-7.3315719947159925,-18.430232558139537,-15.371716042481834,-0.4977769847733298
159,2018-12-31,14.08,15.28,-7.853403141361253,-18.23461091753774,-14.939572582485791,-0.8223485373437508
160,2019-01-02,14.22,15.31,-7.119529719137817,-17.421602787456436,-14.589992915041867,-0.2955118140547691
161,2019-01-03,13.98,14.97,-6.6132264529058125,-18.720930232558132,-16.60167130919219,0.09149898028397488
162,2019-01-04,14.18,15.44,-8.16062176165803,-15.995260663507105,-13.355780022446693,-1.0011350637766405
163,2019-01-07,14.44,15.49,-6.778566817301488,-13.687985654512858,-12.584650112866811,0.04058112702543076
164,2019-01-08,14.6,15.6,-6.4102564102564115,-12.731619844590561,-11.963882618510155,0.3103446263509894
165,2019-01-09,14.71,15.73,-6.4844246662428455,-12.388326384752819,-11.029411764705879,0.267411361359322
166,2019-01-10,14.75,15.76,-6.408629441624364,-9.174876847290632,-8.478513356562132,0.34553495307171933
167,2019-01-11,14.87,15.77,-5.707038681039952,-6.654111738857504,-6.796690307328618,0.879685151203606
168,2019-01-14,14.67,15.61,-6.021780909673283,-8.655043586550429,-7.959905660377367,0.6490733720858953
169,2019-01-15,14.89,15.77,-5.580215599239055,-7.285180572851795,-7.016509433962272,0.9685522369980456
170,2019-01-16,14.94,15.81,-5.502846299810253,-8.455882352941181,-8.45396641574985,1.0323220277938951
171,2019-01-17,14.96,15.91,-5.971087366436199,-9.168184578020632,-7.7681159420289845,0.685371615157174
172,2019-01-18,15.15,16.08,-5.783582089552226,-6.249999999999998,-5.578391074574298,0.8618112227323443
173,2019-01-22,14.99,15.89,-5.6639395846444325,-7.469135802469131,-6.253687315634211,1.019601935949913
174,2019-01-23,15.0,15.92,-5.7788944723618085,-5.660377358490568,-5.463182897862232,0.9708036207698539
175,2019-01-24,14.94,15.92,-6.155778894472364,-3.9845758354755842,-2.0584942108695383,0.6723464763772998
176,2019-01-25,15.05,16.03,-6.113537117903933,-3.956604977664322,-3.781512605042011,0.7609144504499343
177,2019-01-28,15.0,15.94,-5.8971141781681276,-1.7038007863695925,-2.6862026862026833,0.9471041493730349
178,2019-01-29,15.03,15.96,-5.827067669172941,-1.5072083879423357,-2.5641025641025528,0.9908983666819743
179,2019-01-30,15.25,16.17,-5.689548546691413,-0.5867014341590603,-2.5316455696202422,1.0822938622816707
180,2019-01-31,15.35,16.22,-5.363748458692967,-0.7115135834411461,-3.2796660703637492,1.3124029349047708
181,2019-02-01,15.33,16.24,-5.60344827586206,-2.2944550669216026,-3.962152572442352,1.076115595199807
182,2019-02-04,15.44,16.36,-5.623471882640587,-1.5306122448979604,-3.023117960877306,1.0189186458250217
183,2019-02-05,15.55,16.42,-5.298416565164439,-0.8290816326530549,-2.667457024303493,1.2583129412138432
184,2019-02-06,15.58,16.39,-4.942037827943871,-1.392405063291143,-3.360849056603775,1.4931400145460536
185,2019-02-07,15.42,16.32,-5.514705882352943,-4.520123839009281,-5.664739884393065,1.0087814156228148
186,2019-02-08,15.45,16.3,-5.214723926380377,-4.864532019704429,-5.50724637681159,1.213567037847693
187,2019-02-11,15.46,16.29,-5.095150399017792,-2.3989898989898926,-2.977963073257892,1.2925636520100194
188,2019-02-12,15.63,16.46,-5.042527339003645,-1.32575757575757,-1.9654556283501983,1.3038001807574053
189,2019-02-13,15.66,16.46,-4.8602673147023125,-1.073910296904611,-1.9070321811680588,1.4180216162767278
190,2019-02-14,15.57,16.4,-5.060975609756087,-0.12828736369467333,-0.9063444108761458,1.2483951072016997
191,2019-02-15,15.6,16.56,-5.797101449275358,0.12836970474967632,-0.7194244604316606,0.6927878631329016
192,2019-02-19,15.65,16.6,-5.722891566265067,2.2875816993464024,1.1923630245544028,0.7210217031105056
193,2019-02-20,15.69,16.62,-5.5956678700361095,4.530313124583609,2.779117657971879,0.7978707775205254
194,2019-02-21,15.59,16.57,-5.914302957151481,3.4505640345056374,1.8057151283169846,0.5448431486608449
195,2019-02-22,15.67,16.66,-5.9423769507803135,4.211695385290657,2.586206896551735,0.5064027112307492
196,2019-02-25,15.71,16.66,-5.702280912364942,3.2873109796186717,1.1536126290224729,0.6634318051211994
197,2019-02-26,15.72,16.67,-5.698860227954415,3.353057199211044,1.2143290831815594,0.6582779528105209
198,2019-02-27,15.74,16.63,-5.351773902585681,3.2808398950131235,0.7878787878787818,0.8883340824661244
199,2019-02-28,15.73,16.57,-5.069402534701267,1.0276172125883118,-1.3690476190476215,1.063582283472435
200,2019-03-01,15.79,16.67,-5.278944211157783,-1.1271133375078366,-1.7099056603773533,0.8660060963090197
201,2019-03-04,15.77,16.6,-5.000000000000011,1.2195121951219479,1.7025995429509837,1.05059036593189
202,2019-03-05,15.69,16.61,-5.538832028898254,2.148437500000001,1.1571254567600349,0.6820968892961794
203,2019-03-06,15.61,16.54,-5.622732769044739,1.6276041666666667,0.7308160779536993,0.6137688646543394
204,2019-03-07,15.54,16.47,-5.64663023679417,2.7098479841374643,2.425373134328362,0.5847609905590854
205,2019-03-08,15.46,16.41,-5.7891529555149255,3.8978494623655915,1.9450950182954392,0.4785997760490652
206,2019-03-11,15.68,16.64,-5.7692307692307745,6.233062330623306,3.740648379052378,0.4734881541359769
207,2019-03-12,15.75,16.7,-5.688622754491014,6.060606060606063,3.4696406443618257,0.5097745579364271
208,2019-03-13,15.82,16.82,-5.945303210463734,6.96416497633537,4.135066028565942,0.29789820618650215
209,2019-03-14,15.815,16.72,-5.412679425837317,9.826388888888884,6.316686378492486,0.6720903983349075
210,2019-03-15,15.86,16.8,-5.595238095238102,13.773314203730273,8.387096774193553,0.5076794456377332
211,2019-03-18,15.94,16.88,-5.568720379146916,13.129879347054645,9.184993531694683,0.5096962698309032
212,2019-03-19,16.0,16.86,-5.100830367734279,15.273775216138322,10.412573673870334,0.8865396328022415
